"Account"	"Businees Unit"	"Currency"	"Year"	"Scenario"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"Marketing Expense"	"Advertising"	"USD"	"2020"	"Actuals"	"-405268"	"-427770"	"-436628"	"-571749"	"-215818"	"-475706"	"-313756"	"-370356"	"-361297"	"-302763"	"-310799"	"-262708"
"Sales"	"Hardware"	"USD"	"2020"	"Actuals"	"23460904"	"23718891"	"24389820"	"26771012"	"19268388"	"25238331"	"19195734"	"20614489"	"21083674"	"24465875"	"19398173"	"23434737"
"Cost of Goods Sold"	"Hardware"	"USD"	"2020"	"Actuals"	"-11301138"	"-11040566"	"-11385210"	"-12065519"	"-8004994"	"-11169399"	"-8198056"	"-9583888"	"-8854962"	"-10326236"	"-8135464"	"-9435110"
"Commissions Expense"	"Hardware"	"USD"	"2020"	"Actuals"	"-1040217"	"-1037564"	"-1012661"	"-1187032"	"-888831"	"-1025650"	"-897572"	"-943461"	"-945482"	"-1126584"	"-946140"	"-985301"
"Payroll Expense"	"Hardware"	"USD"	"2020"	"Actuals"	"-2686116"	"-2811436"	"-2564638"	"-3193324"	"-2094388"	"-2712239"	"-2266614"	"-2314678"	"-2597975"	"-3028352"	"-2170564"	"-2619732"
"Travel & Entertainment Expense"	"Hardware"	"USD"	"2020"	"Actuals"	"-261109"	"-251233"	"-284032"	"-274954"	"-222389"	"-302896"	"-215682"	"-212824"	"-237617"	"-281077"	"-230799"	"-255866"
"R&D Expense"	"Hardware"	"USD"	"2020"	"Actuals"	"-1079788"	"-967463"	"-1074051"	"-1258729"	"-829188"	"-1219308"	"-868457"	"-1002976"	"-929444"	"-984727"	"-895091"	"-998052"
"Consulting Expense"	"Hardware"	"USD"	"2020"	"Actuals"	"-1259836"	"-1466091"	"-1329954"	"-1342208"	"-968525"	"-1551135"	"-1060193"	"-1219376"	"-1176567"	"-1460487"	"-1009016"	"-1300408"
"Software/Hardware Expense"	"Hardware"	"USD"	"2020"	"Actuals"	"-1761633"	"-2015134"	"-1826370"	"-1914691"	"-1446972"	"-1896300"	"-1597721"	"-1538757"	"-1704116"	"-1897036"	"-1495845"	"-1910300"
"Marketing Expense"	"Hardware"	"USD"	"2020"	"Actuals"	"-565050"	"-523149"	"-596925"	"-643179"	"-442670"	"-528793"	"-428292"	"-448126"	"-442125"	"-526927"	"-439699"	"-491968"
"Sales"	"Software"	"USD"	"2021"	"Actuals"	"59639063"	"63214286"	"68906761"	"89830559"	"68972328"	"59933044"	"72743937"	"88182249"	"78099559"	"53303092"	"86545338"	"71448927"
"Cost of Goods Sold"	"Software"	"USD"	"2021"	"Actuals"	"-23973231"	"-30015539"	"-31134647"	"-40970359"	"-30502322"	"-27410189"	"-31991409"	"-42313803"	"-36050532"	"-22452316"	"-37931056"	"-34824020"
"Commissions Expense"	"Software"	"USD"	"2021"	"Actuals"	"-2750475"	"-2995013"	"-3278513"	"-4096853"	"-3074312"	"-2633099"	"-3191085"	"-3613606"	"-3551148"	"-2501128"	"-4117957"	"-2909146"
"Payroll Expense"	"Software"	"USD"	"2021"	"Actuals"	"-6051302"	"-6651645"	"-8229415"	"-9866087"	"-7274833"	"-7190572"	"-8102482"	"-10459385"	"-8592628"	"-6623440"	"-9176467"	"-8483908"
"Travel & Entertainment Expense"	"Software"	"USD"	"2021"	"Actuals"	"-717745"	"-784976"	"-740504"	"-1034005"	"-808709"	"-686323"	"-731485"	"-990377"	"-910664"	"-637021"	"-1007342"	"-861790"
"R&D Expense"	"Software"	"USD"	"2021"	"Actuals"	"-2960261"	"-2719473"	"-2866789"	"-4414681"	"-3351655"	"-2840401"	"-3326958"	"-3812188"	"-3316582"	"-2454320"	"-4133391"	"-3270907"
"Consulting Expense"	"Software"	"USD"	"2021"	"Actuals"	"-3649541"	"-3533553"	"-3458216"	"-5592271"	"-4005701"	"-3358984"	"-3687848"	"-4759089"	"-3918876"	"-2669925"	"-4358844"	"-3840200"
"Software/Hardware Expense"	"Software"	"USD"	"2021"	"Actuals"	"-4957360"	"-4832819"	"-4998813"	"-7119942"	"-5290282"	"-4874238"	"-5408483"	"-7479531"	"-5546489"	"-4167715"	"-6192072"	"-5068422"
"Marketing Expense"	"Software"	"USD"	"2021"	"Actuals"	"-1367303"	"-1548216"	"-1696682"	"-1972953"	"-1689063"	"-1441599"	"-1643564"	"-1883983"	"-1926635"	"-1133926"	"-1930167"	"-1647005"
"Sales"	"Advertising"	"USD"	"2021"	"Actuals"	"11927813"	"13275000"	"14470420"	"24254251"	"18622529"	"14383931"	"15276227"	"25572852"	"18743894"	"14391835"	"22501788"	"15718764"
"Cost of Goods Sold"	"Advertising"	"USD"	"2021"	"Actuals"	"-5053779"	"-6371606"	"-6108911"	"-11077101"	"-9193559"	"-6219209"	"-7314288"	"-10632631"	"-7663770"	"-5778185"	"-10821067"	"-7450108"
"Commissions Expense"	"Advertising"	"USD"	"2021"	"Actuals"	"-492817"	"-565371"	"-708801"	"-1088792"	"-859144"	"-642937"	"-657708"	"-1154461"	"-889947"	"-630696"	"-901973"	"-676420"
"Payroll Expense"	"Advertising"	"USD"	"2021"	"Actuals"	"-1386136"	"-1379450"	"-1749461"	"-2801736"	"-2056382"	"-1705969"	"-1684701"	"-2697955"	"-2211580"	"-1544845"	"-2647562"	"-1932499"
"Travel & Entertainment Expense"	"Advertising"	"USD"	"2021"	"Actuals"	"-131523"	"-161711"	"-172700"	"-266573"	"-230679"	"-179379"	"-165428"	"-315550"	"-224935"	"-168787"	"-240615"	"-180581"
"R&D Expense"	"Advertising"	"USD"	"2021"	"Actuals"	"-538128"	"-661583"	"-625462"	"-1052988"	"-890043"	"-712398"	"-638422"	"-1178248"	"-765041"	"-607327"	"-958441"	"-630264"
"Consulting Expense"	"Advertising"	"USD"	"2021"	"Actuals"	"-715824"	"-732141"	"-899514"	"-1234506"	"-1078382"	"-795168"	"-921206"	"-1355263"	"-1118497"	"-885131"	"-1383842"	"-879683"
"Software/Hardware Expense"	"Advertising"	"USD"	"2021"	"Actuals"	"-850624"	"-1078967"	"-1072288"	"-1843256"	"-1363107"	"-1086298"	"-1289100"	"-2054031"	"-1505668"	"-1189134"	"-1672064"	"-1353879"
"Marketing Expense"	"Advertising"	"USD"	"2021"	"Actuals"	"-256750"	"-303363"	"-358131"	"-533856"	"-456091"	"-307618"	"-377198"	"-633324"	"-439078"	"-327293"	"-523231"	"-381235"
"Sales"	"Hardware"	"USD"	"2021"	"Actuals"	"22066453"	"20860714"	"25495502"	"35932224"	"22760868"	"22774557"	"23278060"	"32627432"	"29677832"	"15990928"	"32021775"	"23578146"
"Cost of Goods Sold"	"Hardware"	"USD"	"2021"	"Actuals"	"-10194386"	"-8775712"	"-11649875"	"-16904734"	"-10156730"	"-9308845"	"-11485654"	"-13335082"	"-13144907"	"-7121589"	"-14605277"	"-10457408"
"Commissions Expense"	"Hardware"	"USD"	"2021"	"Actuals"	"-1020928"	"-962457"	"-1256682"	"-1466447"	"-1128295"	"-1097226"	"-991610"	"-1523961"	"-1263413"	"-756846"	"-1410397"	"-1032096"
"Payroll Expense"	"Hardware"	"USD"	"2021"	"Actuals"	"-2444611"	"-2272245"	"-2641782"	"-4039512"	"-2624973"	"-2743062"	"-2434704"	"-4055672"	"-3164216"	"-1753146"	"-3557338"	"-2534072"
"Travel & Entertainment Expense"	"Hardware"	"USD"	"2021"	"Actuals"	"-275381"	"-210026"	"-317279"	"-388332"	"-242804"	"-235914"	"-250881"	"-404914"	"-314764"	"-162558"	"-362132"	"-245425"
"R&D Expense"	"Hardware"	"USD"	"2021"	"Actuals"	"-982133"	"-1031282"	"-1031427"	"-1571161"	"-1047047"	"-915792"	"-1130410"	"-1332285"	"-1469427"	"-750448"	"-1514250"	"-1098678"
"Consulting Expense"	"Hardware"	"USD"	"2021"	"Actuals"	"-1125007"	"-1299618"	"-1392648"	"-2179140"	"-1402417"	"-1417237"	"-1366474"	"-1706626"	"-1557322"	"-802577"	"-1970207"	"-1423960"
"Software/Hardware Expense"	"Hardware"	"USD"	"2021"	"Actuals"	"-1892953"	"-1758305"	"-2114471"	"-2948387"	"-1767142"	"-1705036"	"-2010684"	"-2567132"	"-2136189"	"-1232918"	"-2637095"	"-2009167"
"Marketing Expense"	"Hardware"	"USD"	"2021"	"Actuals"	"-535336"	"-469896"	"-589539"	"-871134"	"-466384"	"-548868"	"-518774"	"-742349"	"-717617"	"-394682"	"-746161"	"-544340"
"Sales"	"Software"	"USD"	"2022"	"Actuals"	"78338286"	"58034151"	"75874351"	"87725417"	"84878696"	"73990027"	"95372852"	"83104256"	"52883151"	"61528451"	"91089451"	"87746916"
"Cost of Goods Sold"	"Software"	"USD"	"2022"	"Actuals"	"-32377742"	"-26379976"	"-33823729"	"-41186038"	"-40605218"	"-31555193"	"-46768008"	"-33951735"	"-24520783"	"-24743822"	"-36760421"	"-43815665"
"Commissions Expense"	"Software"	"USD"	"2022"	"Actuals"	"-3477740"	"-2612821"	"-3043000"	"-4206639"	"-3635596"	"-3390988"	"-4751711"	"-3385162"	"-2396080"	"-2929053"	"-4196677"	"-3591506"
"Payroll Expense"	"Software"	"USD"	"2022"	"Actuals"	"-8777061"	"-5956476"	"-8788853"	"-9995832"	"-8550645"	"-8956466"	"-11183485"	"-8871134"	"-6351611"	"-7670731"	"-9827555"	"-9599585"
"Travel & Entertainment Expense"	"Software"	"USD"	"2022"	"Actuals"	"-851217"	"-648182"	"-827626"	"-971146"	"-1009775"	"-865150"	"-1184627"	"-992651"	"-601399"	"-727376"	"-1128223"	"-1000127"
"R&D Expense"	"Software"	"USD"	"2022"	"Actuals"	"-3158339"	"-2728823"	"-3421161"	"-4332736"	"-4162923"	"-3139829"	"-4315056"	"-3425707"	"-2305237"	"-2579902"	"-4086474"	"-4146068"
"Consulting Expense"	"Software"	"USD"	"2022"	"Actuals"	"-4069215"	"-3519759"	"-4009533"	"-4836632"	"-5257809"	"-4412376"	"-4985773"	"-4979583"	"-2840712"	"-3475369"	"-4584362"	"-4474219"
"Software/Hardware Expense"	"Software"	"USD"	"2022"	"Actuals"	"-6585349"	"-4759687"	"-6493370"	"-6546763"	"-6734243"	"-6212732"	"-8195799"	"-6417083"	"-4176227"	"-5193726"	"-6901697"	"-7639360"
"Marketing Expense"	"Software"	"USD"	"2022"	"Actuals"	"-1828234"	"-1342350"	"-1751692"	"-2175232"	"-1829981"	"-1789035"	"-1954312"	"-2007974"	"-1094268"	"-1521032"	"-1827984"	"-1900742"
"Sales"	"Advertising"	"USD"	"2022"	"Actuals"	"19584572"	"14508538"	"17451101"	"22808608"	"21219674"	"19977307"	"21935756"	"24931277"	"15336114"	"13536259"	"26415941"	"20181791"
"Cost of Goods Sold"	"Advertising"	"USD"	"2022"	"Actuals"	"-8362230"	"-6091621"	"-8316059"	"-10159328"	"-8624806"	"-9693159"	"-9579056"	"-9973478"	"-6228310"	"-6023754"	"-10593290"	"-8974298"
"Commissions Expense"	"Advertising"	"USD"	"2022"	"Actuals"	"-915086"	"-612941"	"-823113"	"-916944"	"-880691"	"-867181"	"-960417"	"-1047426"	"-623688"	"-675831"	"-1132922"	"-970183"
"Payroll Expense"	"Advertising"	"USD"	"2022"	"Actuals"	"-2065945"	"-1474640"	"-2117096"	"-2790604"	"-2540908"	"-2325558"	"-2387390"	"-3056599"	"-1798103"	"-1677834"	"-3256778"	"-2424353"
"Travel & Entertainment Expense"	"Advertising"	"USD"	"2022"	"Actuals"	"-240447"	"-157072"	"-183016"	"-241630"	"-239007"	"-238586"	"-266862"	"-274476"	"-188419"	"-144601"	"-275592"	"-214592"
"R&D Expense"	"Advertising"	"USD"	"2022"	"Actuals"	"-796397"	"-610923"	"-729783"	"-913075"	"-1012763"	"-882471"	"-1093311"	"-1137735"	"-686706"	"-582618"	"-1127220"	"-876587"
"Consulting Expense"	"Advertising"	"USD"	"2022"	"Actuals"	"-1199233"	"-811310"	"-900254"	"-1164976"	"-1151854"	"-1034607"	"-1285049"	"-1518350"	"-866477"	"-705238"	"-1549744"	"-1249787"
"Software/Hardware Expense"	"Advertising"	"USD"	"2022"	"Actuals"	"-1445011"	"-1126211"	"-1306570"	"-1839960"	"-1539232"	"-1482785"	"-1588028"	"-1880876"	"-1288625"	"-1107308"	"-2083925"	"-1761373"
"Marketing Expense"	"Advertising"	"USD"	"2022"	"Actuals"	"-420494"	"-304699"	"-395657"	"-479567"	"-522262"	"-404189"	"-497618"	"-499475"	"-321370"	"-275373"	"-589065"	"-494276"
"Sales"	"Hardware"	"USD"	"2022"	"Actuals"	"30551932"	"19731611"	"24279792"	"35090167"	"26312396"	"25896509"	"31473041"	"27424404"	"21153260"	"24611380"	"30059519"	"30711421"
"Cost of Goods Sold"	"Hardware"	"USD"	"2022"	"Actuals"	"-13819091"	"-9286529"	"-10933750"	"-15827962"	"-12543885"	"-11801803"	"-15410493"	"-12281930"	"-8667400"	"-10416735"	"-12874137"	"-15312570"
"Commissions Expense"	"Hardware"	"USD"	"2022"	"Actuals"	"-1369961"	"-942250"	"-1067439"	"-1630125"	"-1266063"	"-1202899"	"-1418412"	"-1366956"	"-922278"	"-1025165"	"-1394203"	"-1252426"
"Payroll Expense"	"Hardware"	"USD"	"2022"	"Actuals"	"-3344503"	"-2300612"	"-2595976"	"-3778056"	"-3167287"	"-2947517"	"-3546969"	"-2816091"	"-2552955"	"-2506235"	"-3473277"	"-3338330"
"Travel & Entertainment Expense"	"Hardware"	"USD"	"2022"	"Actuals"	"-338744"	"-244628"	"-271723"	"-354541"	"-300962"	"-260911"	"-327018"	"-336207"	"-259047"	"-300466"	"-322986"	"-313283"
"R&D Expense"	"Hardware"	"USD"	"2022"	"Actuals"	"-1468744"	"-973887"	"-1032242"	"-1717271"	"-1287760"	"-1206283"	"-1470777"	"-1246641"	"-1025992"	"-1104742"	"-1379202"	"-1486638"
"Consulting Expense"	"Hardware"	"USD"	"2022"	"Actuals"	"-1633292"	"-1089178"	"-1472323"	"-2057777"	"-1473412"	"-1538962"	"-1683014"	"-1385482"	"-1129867"	"-1300291"	"-1689964"	"-1833600"
"Software/Hardware Expense"	"Hardware"	"USD"	"2022"	"Actuals"	"-2276556"	"-1464050"	"-2030413"	"-2759580"	"-2279559"	"-2087858"	"-2509070"	"-2137231"	"-1498973"	"-2006400"	"-2628526"	"-2421145"
"Marketing Expense"	"Hardware"	"USD"	"2022"	"Actuals"	"-661654"	"-401978"	"-494551"	"-729508"	"-547250"	"-536085"	"-699474"	"-582080"	"-490459"	"-554075"	"-629658"	"-720295"
"Sales"	"Software"	"USD"	"2023"	"Budget"	"89862727"	"99687807"	"99378570"	"55271910"	"83758431"	"51637163"	"76348472"	"66086281"	"80081331"	"83886832"	"95750606"	"87036633"
"Cost of Goods Sold"	"Software"	"USD"	"2023"	"Budget"	"-39040130"	"-39921367"	"-45671498"	"-25801859"	"-39706126"	"-24992558"	"-31073960"	"-27470867"	"-33718513"	"-35019709"	"-45131670"	"-36256184"
"Commissions Expense"	"Software"	"USD"	"2023"	"Budget"	"-4014208"	"-4730507"	"-4051116"	"-2388743"	"-3788314"	"-2165366"	"-3369016"	"-2871769"	"-3799113"	"-3974617"	"-4757153"	"-3920259"
"Payroll Expense"	"Software"	"USD"	"2023"	"Budget"	"-11164524"	"-11563467"	"-10590962"	"-6628891"	"-10201147"	"-6336226"	"-8308362"	"-8049766"	"-9552167"	"-9069604"	"-11039826"	"-9218680"
"Travel & Entertainment Expense"	"Software"	"USD"	"2023"	"Budget"	"-903966"	"-1205019"	"-1010356"	"-636949"	"-1015796"	"-595479"	"-766242"	"-750665"	"-951950"	"-1022303"	"-1058471"	"-1058724"
"R&D Expense"	"Software"	"USD"	"2023"	"Budget"	"-3929016"	"-4147710"	"-4445473"	"-2698906"	"-3896549"	"-2130630"	"-3614931"	"-2980311"	"-3888537"	"-3741844"	"-4366391"	"-3894310"
"Consulting Expense"	"Software"	"USD"	"2023"	"Budget"	"-5487234"	"-6089746"	"-5750018"	"-3304967"	"-4958093"	"-2792253"	"-4640076"	"-3464963"	"-4767705"	"-4724399"	"-5050221"	"-4982632"
"Software/Hardware Expense"	"Software"	"USD"	"2023"	"Budget"	"-7158940"	"-7286160"	"-7691904"	"-4033310"	"-6604421"	"-3616980"	"-5679051"	"-5089930"	"-5618855"	"-5999913"	"-7841981"	"-6140271"
"Marketing Expense"	"Software"	"USD"	"2023"	"Budget"	"-1991503"	"-2443588"	"-2092138"	"-1127262"	"-2079479"	"-1036044"	"-1616405"	"-1643097"	"-1843345"	"-1693056"	"-2018243"	"-2002915"
"Sales"	"Advertising"	"USD"	"2023"	"Budget"	"23364309"	"21931318"	"19875714"	"14923416"	"20102023"	"14974777"	"15269694"	"17843296"	"20821146"	"18455103"	"28725182"	"23499891"
"Cost of Goods Sold"	"Advertising"	"USD"	"2023"	"Budget"	"-9770870"	"-9977447"	"-9318571"	"-7177432"	"-10040815"	"-6705472"	"-6527053"	"-7338883"	"-8598615"	"-8754005"	"-12960586"	"-10440153"
"Commissions Expense"	"Advertising"	"USD"	"2023"	"Budget"	"-998448"	"-906026"	"-816425"	"-657707"	"-898385"	"-723954"	"-621806"	"-778231"	"-920749"	"-855672"	"-1292991"	"-1173809"
"Payroll Expense"	"Advertising"	"USD"	"2023"	"Budget"	"-2858483"	"-2305377"	"-2131212"	"-1590327"	"-2085973"	"-1703752"	"-1695552"	"-1788917"	"-2327015"	"-2071414"	"-3239804"	"-2746179"
"Travel & Entertainment Expense"	"Advertising"	"USD"	"2023"	"Budget"	"-285338"	"-244889"	"-233148"	"-166561"	"-244687"	"-161345"	"-178305"	"-192708"	"-243644"	"-226447"	"-305055"	"-280685"
"R&D Expense"	"Advertising"	"USD"	"2023"	"Budget"	"-1031961"	"-1042954"	"-920646"	"-731175"	"-848528"	"-736400"	"-719835"	"-881777"	"-847120"	"-844418"	"-1401315"	"-1079897"
"Consulting Expense"	"Advertising"	"USD"	"2023"	"Budget"	"-1170898"	"-1234525"	"-1172371"	"-753727"	"-1051436"	"-922198"	"-907610"	"-961198"	"-1254550"	"-945986"	"-1699048"	"-1191231"
"Software/Hardware Expense"	"Advertising"	"USD"	"2023"	"Budget"	"-1980716"	"-1788979"	"-1719915"	"-1088499"	"-1502513"	"-1239582"	"-1127643"	"-1387114"	"-1526398"	"-1372656"	"-2454975"	"-1754241"
"Marketing Expense"	"Advertising"	"USD"	"2023"	"Budget"	"-566582"	"-505261"	"-426912"	"-323456"	"-432583"	"-305741"	"-310930"	"-427699"	"-433517"	"-412281"	"-629706"	"-493044"
"Sales"	"Hardware"	"USD"	"2023"	"Budget"	"33249209"	"35887611"	"29813571"	"16581573"	"25127529"	"18073007"	"25958480"	"24451924"	"24024399"	"26843786"	"31597700"	"34814653"
"Cost of Goods Sold"	"Hardware"	"USD"	"2023"	"Budget"	"-14119263"	"-17879670"	"-14358261"	"-7982038"	"-12177131"	"-8747974"	"-11295692"	"-10246934"	"-10460207"	"-11993641"	"-13770029"	"-14012331"
"Commissions Expense"	"Hardware"	"USD"	"2023"	"Budget"	"-1467109"	"-1677945"	"-1447729"	"-812834"	"-1060983"	"-816607"	"-1241153"	"-1024413"	"-1198716"	"-1237038"	"-1557750"	"-1483854"
"Payroll Expense"	"Hardware"	"USD"	"2023"	"Budget"	"-3338737"	"-4402775"	"-3287314"	"-1955247"	"-2711290"	"-1836954"	"-2798464"	"-2507986"	"-2646561"	"-2872300"	"-3683032"	"-3775393"
"Travel & Entertainment Expense"	"Hardware"	"USD"	"2023"	"Budget"	"-411779"	"-419320"	"-343566"	"-188670"	"-300697"	"-184661"	"-260440"	"-303559"	"-264242"	"-289776"	"-330529"	"-371367"
"R&D Expense"	"Hardware"	"USD"	"2023"	"Budget"	"-1532046"	"-1660857"	"-1397352"	"-803884"	"-1095237"	"-873288"	"-1260882"	"-1018393"	"-1131941"	"-1242629"	"-1414584"	"-1678509"
"Consulting Expense"	"Hardware"	"USD"	"2023"	"Budget"	"-1990196"	"-1966905"	"-1708842"	"-925380"	"-1432833"	"-927012"	"-1405783"	"-1281770"	"-1499076"	"-1485770"	"-1836741"	"-2063376"
"Software/Hardware Expense"	"Hardware"	"USD"	"2023"	"Budget"	"-2556106"	"-2734053"	"-2473118"	"-1174103"	"-1830494"	"-1286762"	"-2130211"	"-1845120"	"-1889246"	"-1995506"	"-2490074"	"-3039992"
"Marketing Expense"	"Hardware"	"USD"	"2023"	"Budget"	"-750337"	"-885959"	"-692240"	"-347870"	"-614839"	"-391158"	"-556893"	"-578359"	"-537761"	"-570088"	"-781567"	"-696480"
"Sales"	"Software"	"USD"	"2023"	"Forecast"	"77301768"	"72875628"	"55895001"	"89382699"	"71319509"	"79975474"	"69313842"	"92091905"	"83500769"	"59385280"	"65641609"	"71434962"
"Cost of Goods Sold"	"Software"	"USD"	"2023"	"Forecast"	"-35752342"	"-31441278"	"-27014782"	"-41080521"	"-29816017"	"-37864346"	"-29367294"	"-40634741"	"-39724316"	"-26784238"	"-29537593"	"-34630314"
"Commissions Expense"	"Software"	"USD"	"2023"	"Forecast"	"-3428824"	"-3228713"	"-2275853"	"-4449372"	"-3285819"	"-3933173"	"-2824146"	"-4226119"	"-3700895"	"-2830639"	"-3243319"	"-3463190"
"Payroll Expense"	"Software"	"USD"	"2023"	"Forecast"	"-7928112"	"-9106177"	"-6946518"	"-9674499"	"-8601910"	"-9397456"	"-8541402"	"-11276422"	"-9209392"	"-7076763"	"-8202915"	"-8508411"
"Travel & Entertainment Expense"	"Software"	"USD"	"2023"	"Forecast"	"-957085"	"-849920"	"-682768"	"-1070786"	"-869744"	"-914245"	"-850332"	"-1141027"	"-843495"	"-681529"	"-713836"	"-742136"
"R&D Expense"	"Software"	"USD"	"2023"	"Forecast"	"-3438085"	"-3285329"	"-2789198"	"-3812133"	"-3117588"	"-3550508"	"-2975224"	"-4265659"	"-4086642"	"-2794161"	"-2929773"	"-3103697"
"Consulting Expense"	"Software"	"USD"	"2023"	"Forecast"	"-3969897"	"-4380494"	"-3366354"	"-5273562"	"-3663927"	"-4416822"	"-4001007"	"-4832019"	"-4909221"	"-3571834"	"-3526646"	"-3835844"
"Software/Hardware Expense"	"Software"	"USD"	"2023"	"Forecast"	"-5877577"	"-5737846"	"-4331053"	"-7521222"	"-5990060"	"-5838719"	"-5381168"	"-8054420"	"-6629167"	"-4297756"	"-5298750"	"-5411523"
"Marketing Expense"	"Software"	"USD"	"2023"	"Forecast"	"-1715892"	"-1670598"	"-1349484"	"-1982340"	"-1444353"	"-1884602"	"-1511649"	"-1993504"	"-2075691"	"-1342675"	"-1421368"	"-1684617"
"Sales"	"Advertising"	"USD"	"2023"	"Forecast"	"17006389"	"16032638"	"14532700"	"20558021"	"16403487"	"20793623"	"16635322"	"26706652"	"16700154"	"17221731"	"18379651"	"16430041"
"Cost of Goods Sold"	"Advertising"	"USD"	"2023"	"Forecast"	"-7139124"	"-6558131"	"-5982628"	"-9936401"	"-7091143"	"-8326629"	"-7786192"	"-11348186"	"-7370420"	"-7201133"	"-9088004"	"-6637350"
"Commissions Expense"	"Advertising"	"USD"	"2023"	"Forecast"	"-803688"	"-739259"	"-592091"	"-918521"	"-663152"	"-840619"	"-680646"	"-1322559"	"-739411"	"-813025"	"-885800"	"-802943"
"Payroll Expense"	"Advertising"	"USD"	"2023"	"Forecast"	"-1775134"	"-1641526"	"-1648504"	"-2569037"	"-1934072"	"-2504228"	"-1924690"	"-3011577"	"-1750792"	"-1993161"	"-1924696"	"-2012016"
"Travel & Entertainment Expense"	"Advertising"	"USD"	"2023"	"Forecast"	"-184417"	"-161775"	"-161976"	"-244398"	"-192012"	"-219272"	"-167711"	"-289743"	"-168764"	"-197206"	"-228371"	"-193657"
"R&D Expense"	"Advertising"	"USD"	"2023"	"Forecast"	"-822293"	"-701739"	"-651658"	"-878628"	"-764328"	"-998972"	"-809874"	"-1081271"	"-688376"	"-770508"	"-750435"	"-712111"
"Consulting Expense"	"Advertising"	"USD"	"2023"	"Forecast"	"-874275"	"-940682"	"-892071"	"-1227751"	"-1019603"	"-1199508"	"-835310"	"-1647093"	"-840393"	"-892880"	"-991474"	"-824952"
"Software/Hardware Expense"	"Advertising"	"USD"	"2023"	"Forecast"	"-1299408"	"-1217903"	"-1241944"	"-1784476"	"-1419608"	"-1656529"	"-1231975"	"-2124020"	"-1192510"	"-1247530"	"-1452568"	"-1386479"
"Marketing Expense"	"Advertising"	"USD"	"2023"	"Forecast"	"-388830"	"-382107"	"-359149"	"-508536"	"-363265"	"-508077"	"-339302"	"-581049"	"-414044"	"-386935"	"-400161"	"-369293"
"Sales"	"Hardware"	"USD"	"2023"	"Forecast"	"25509583"	"27692739"	"21799050"	"27708637"	"22822243"	"24792397"	"24952983"	"32232167"	"30895285"	"20190995"	"19692483"	"26430936"
"Cost of Goods Sold"	"Hardware"	"USD"	"2023"	"Forecast"	"-11578936"	"-13283266"	"-10760123"	"-12031880"	"-9652620"	"-10584647"	"-12326877"	"-14959934"	"-13028093"	"-8308173"	"-7944445"	"-11049601"
"Commissions Expense"	"Hardware"	"USD"	"2023"	"Forecast"	"-1275330"	"-1342502"	"-1005300"	"-1113375"	"-1053372"	"-1175475"	"-1199747"	"-1548433"	"-1366025"	"-817271"	"-858372"	"-1083636"
"Payroll Expense"	"Hardware"	"USD"	"2023"	"Forecast"	"-3063156"	"-2978709"	"-2456071"	"-2810593"	"-2589351"	"-2491701"	"-3020040"	"-3652709"	"-3270893"	"-2030059"	"-2371946"	"-3263794"
"Travel & Entertainment Expense"	"Hardware"	"USD"	"2023"	"Forecast"	"-295046"	"-288819"	"-270521"	"-299399"	"-259557"	"-306337"	"-302042"	"-335932"	"-352326"	"-202497"	"-209741"	"-306375"
"R&D Expense"	"Hardware"	"USD"	"2023"	"Forecast"	"-1063042"	"-1383994"	"-1005520"	"-1122436"	"-1105967"	"-1152280"	"-1172596"	"-1435420"	"-1381456"	"-865769"	"-855963"	"-1188799"
"Consulting Expense"	"Hardware"	"USD"	"2023"	"Forecast"	"-1440304"	"-1476449"	"-1202261"	"-1447697"	"-1227951"	"-1255275"	"-1424563"	"-1942571"	"-1593839"	"-1037651"	"-1097675"	"-1397647"
"Software/Hardware Expense"	"Hardware"	"USD"	"2023"	"Forecast"	"-1825596"	"-1941785"	"-1833335"	"-2389482"	"-1906406"	"-1777976"	"-2005933"	"-2661184"	"-2463031"	"-1455030"	"-1398480"	"-1954771"
"Marketing Expense"	"Hardware"	"USD"	"2023"	"Forecast"	"-545525"	"-576243"	"-534567"	"-678191"	"-461374"	"-509712"	"-576349"	"-660401"	"-684878"	"-460793"	"-480324"	"-657505"
